mDM_(MeV)	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10
1.00000e-02	2.93588e+32	1.75571e+29	6.60802e+25	6.09967e+22	2.37718e+44	2.05614e+44	2.06770e+44	3.02953e+44	2.05149e+45	1.67566e+45
1.58489e-02	7.64619e+32	4.58571e+29	4.43583e+26	4.11874e+23	6.29107e+44	5.36827e+44	5.29776e+44	7.88587e+44	5.32354e+45	4.29703e+45
2.51189e-02	1.97476e+33	1.20306e+30	2.89519e+27	2.54471e+24	1.60236e+45	1.36995e+45	1.38820e+45	2.12042e+45	1.37032e+46	1.09643e+46
3.98107e-02	5.11430e+33	3.09429e+30	1.84418e+28	1.67738e+25	4.26726e+45	3.66322e+45	3.66221e+45	5.48119e+45	3.65810e+46	2.92225e+46
6.30957e-02	1.35759e+34	8.37929e+30	1.27937e+29	1.13676e+26	1.13560e+46	9.60784e+45	9.68172e+45	1.44914e+46	9.69881e+46	7.79688e+46
1.00000e-01	3.62696e+34	2.21115e+31	8.61686e+29	7.62237e+26	2.99466e+46	2.58449e+46	2.58306e+46	3.81964e+46	2.54404e+47	2.05653e+47
1.58489e-01	9.53156e+34	5.79175e+31	5.61446e+30	5.09256e+27	8.06894e+46	6.94409e+46	6.96157e+46	1.01848e+47	6.82737e+47	5.55907e+47
2.51189e-01	2.47415e+35	1.52676e+32	3.64334e+31	3.33688e+28	2.08695e+47	1.80151e+47	1.79962e+47	2.67877e+47	1.79328e+48	1.44791e+48
3.98107e-01	6.30104e+35	3.86729e+32	2.35689e+32	2.16944e+29	5.39877e+47	4.66451e+47	4.65455e+47	6.79833e+47	4.60524e+48	3.70331e+48
6.30957e-01	1.60267e+36	9.93957e+32	1.51446e+33	1.35421e+30	1.32668e+48	1.16170e+48	1.16647e+48	1.73484e+48	1.12746e+49	9.42702e+48
1.00000e+00	3.95789e+36	2.40760e+33	9.31203e+33	8.42683e+30	3.28357e+48	2.84711e+48	2.85836e+48	4.23506e+48	2.81696e+49	2.28678e+49
1.58489e+00	9.54171e+36	5.89219e+33	5.58811e+34	5.18105e+31	8.02442e+48	6.90145e+48	6.87074e+48	1.01496e+49	6.81747e+49	5.60276e+49
2.51189e+00	2.28473e+37	1.40992e+34	3.35157e+35	2.96698e+32	1.88664e+49	1.63732e+49	1.62542e+49	2.42097e+49	1.62032e+50	1.30779e+50
3.98107e+00	5.60926e+37	3.39525e+34	1.95005e+36	1.79852e+33	4.45709e+49	3.83243e+49	3.78725e+49	5.69410e+49	3.83119e+50	3.09553e+50
6.30957e+00	1.41172e+38	8.65024e+34	1.17966e+37	1.10337e+34	1.03997e+50	9.12233e+49	8.95518e+49	1.34918e+50	8.91594e+50	7.19398e+50
1.00000e+01	3.68777e+38	2.35475e+35	6.89196e+37	6.31374e+34	2.42675e+50	2.20910e+50	2.05775e+50	3.27379e+50	2.10175e+51	1.67020e+51
1.58489e+01	1.08341e+39	7.45897e+35	3.80874e+38	3.41255e+35	5.26993e+50	5.44992e+50	4.55000e+50	7.83519e+50	4.72226e+51	3.78490e+51
2.51189e+01	3.24521e+39	2.43227e+36	1.85704e+39	1.63203e+36	1.03218e+51	1.28990e+51	8.74194e+50	1.82527e+51	1.00449e+52	7.87417e+51
3.98107e+01	8.15282e+39	5.67170e+36	5.94359e+39	4.66607e+36	1.51527e+51	2.67615e+51	1.26615e+51	3.42105e+51	1.60077e+52	1.29660e+52
6.30957e+01	1.10652e+40	4.13946e+36	8.71205e+39	3.54392e+36	1.49437e+51	3.24276e+51	1.24008e+51	4.01441e+51	1.71677e+52	1.39125e+52
1.00000e+02	9.98458e+39	1.63914e+36	8.05257e+39	1.42414e+36	1.18778e+51	2.81048e+51	9.66110e+50	3.48119e+51	1.40031e+52	1.14735e+52
