mDM_(MeV)	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10
1.00000e-02	2.03428e+32	6.93476e+28	2.65847e+25	1.34926e+22	8.31936e+43	5.98848e+43	6.04019e+43	1.30797e+44	7.68072e+44	4.83728e+44
1.58489e-02	5.28573e+32	1.80787e+29	1.73704e+26	8.63960e+22	2.13816e+44	1.55641e+44	1.54304e+44	3.34718e+44	1.96356e+45	1.24036e+45
2.51189e-02	1.36523e+33	4.69656e+29	1.14284e+27	5.57206e+23	5.49319e+44	3.96996e+44	3.95007e+44	8.67338e+44	5.09417e+45	3.19938e+45
3.98107e-02	3.53065e+33	1.18785e+30	7.40372e+27	3.73350e+24	1.42250e+45	1.01910e+45	1.02044e+45	2.24275e+45	1.30546e+46	8.13155e+45
6.30957e-02	9.20642e+33	3.21444e+30	4.79997e+28	2.46137e+25	3.70896e+45	2.65065e+45	2.66444e+45	5.89205e+45	3.33706e+46	2.12668e+46
1.00000e-01	2.38410e+34	8.00643e+30	3.13907e+29	1.61104e+26	9.76113e+45	7.02677e+45	7.00973e+45	1.53709e+46	8.97243e+46	5.62223e+46
1.58489e-01	6.21590e+34	2.15974e+31	2.06939e+30	1.06282e+27	2.59526e+46	1.84364e+46	1.86772e+46	4.05242e+46	2.33895e+47	1.46789e+47
2.51189e-01	1.59859e+35	5.66568e+31	1.35297e+31	6.77473e+27	6.69326e+46	4.84271e+46	4.82538e+46	1.04541e+47	6.10015e+47	3.87424e+47
3.98107e-01	4.15905e+35	1.43639e+32	8.73899e+31	4.54442e+28	1.72992e+47	1.21820e+47	1.24117e+47	2.67774e+47	1.55701e+48	9.82407e+47
6.30957e-01	1.04547e+36	3.62019e+32	5.51135e+32	2.82712e+29	4.33146e+47	3.10066e+47	3.10049e+47	6.69528e+47	3.90706e+48	2.47825e+48
1.00000e+00	2.53128e+36	9.00391e+32	3.42465e+33	1.73763e+30	1.05446e+48	7.59187e+47	7.59137e+47	1.65515e+48	9.61813e+48	6.14179e+48
1.58489e+00	6.21927e+36	2.17210e+33	2.09441e+34	1.06806e+31	2.53817e+48	1.86030e+48	1.85448e+48	4.05213e+48	2.34516e+49	1.47630e+49
2.51189e+00	1.50672e+37	5.30874e+33	1.26086e+35	6.23187e+31	6.13963e+48	4.45811e+48	4.39957e+48	9.69330e+48	5.63270e+49	3.49293e+49
3.98107e+00	3.68992e+37	1.28432e+34	7.35872e+35	3.73314e+32	1.46615e+49	1.06657e+49	1.04280e+49	2.29028e+49	1.33330e+50	8.43956e+49
