mDM_(MeV)	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10
1.00000e-03	2.66927e+28	3.65231e+23	1.39873e+18	2.78320e+13	3.91207e+39	8.04020e+38	8.04106e+38	1.02525e+40	4.40999e+40	6.43233e+39
1.58489e-03	1.20131e+29	2.46966e+24	2.37579e+19	7.09362e+14	1.72215e+40	3.49369e+39	3.49426e+39	4.55055e+40	1.93460e+41	2.79507e+40
2.51189e-03	4.85657e+29	1.41861e+25	3.42801e+20	1.50053e+16	6.95457e+40	1.35916e+40	1.35949e+40	1.82819e+41	7.77974e+41	1.08739e+41
3.98107e-03	1.69903e+30	6.56067e+25	3.98228e+21	2.42637e+17	2.40442e+41	4.58063e+40	4.58214e+40	6.33875e+41	2.69237e+42	3.66481e+41
6.30957e-03	4.87689e+30	2.19284e+26	3.34344e+22	2.09498e+18	6.90642e+41	1.26386e+41	1.25977e+41	1.82866e+42	7.79527e+42	1.01119e+42
1.00000e-02	1.33626e+31	5.96218e+26	2.28345e+23	1.49805e+19	1.88784e+42	3.34388e+41	3.37027e+41	4.99079e+42	2.12395e+43	2.67538e+42
1.58489e-02	3.56237e+31	1.52631e+27	1.46820e+24	1.04290e+20	4.90425e+42	8.40233e+41	8.34710e+41	1.27734e+43	5.70134e+43	6.72260e+42
2.51189e-02	8.91632e+31	3.94765e+27	9.53947e+24	6.83208e+20	1.22049e+43	2.11521e+42	2.11921e+42	3.35785e+43	1.41179e+44	1.77536e+43
3.98107e-02	2.28448e+32	1.04356e+28	6.43271e+25	3.76824e+21	3.18794e+43	5.58656e+42	5.56285e+42	8.27671e+43	3.54032e+44	4.52309e+43
6.30957e-02	5.79741e+32	2.64544e+28	3.87703e+26	2.69657e+22	7.72853e+43	1.35778e+43	1.41440e+43	2.11729e+44	9.21211e+44	1.08210e+44
1.00000e-01	1.47797e+33	6.09628e+28	2.33480e+27	1.61783e+23	2.01872e+44	3.52315e+43	3.51883e+43	5.38954e+44	2.40617e+45	2.80720e+44
1.58489e-01	3.67710e+33	1.69659e+29	1.63215e+28	1.06422e+24	5.30594e+44	9.15644e+43	9.37185e+43	1.38455e+45	5.71467e+45	7.32571e+44
2.51189e-01	9.28731e+33	4.08161e+29	9.86306e+28	6.61564e+24	1.29500e+45	2.30967e+44	2.21575e+44	3.47721e+45	1.50059e+46	1.84779e+45
3.98107e-01	2.37259e+34	1.04337e+30	6.33297e+29	5.08795e+25	3.34088e+45	5.62014e+44	5.62108e+44	8.74279e+45	3.77022e+46	4.49571e+45
6.30957e-01	6.18245e+34	2.68312e+30	4.09057e+30	2.76904e+26	8.36655e+45	1.40924e+45	1.40894e+45	2.24686e+46	9.38402e+46	1.12520e+46
1.00000e+00	1.48391e+35	6.74179e+30	2.58135e+31	1.64772e+27	2.07661e+46	3.51764e+45	3.48098e+45	5.58840e+46	2.34747e+47	2.78502e+46
1.58489e+00	3.58541e+35	1.60469e+31	1.53005e+32	1.08065e+28	5.47117e+46	8.63837e+45	8.89164e+45	1.35949e+47	5.82984e+47	7.02847e+46
2.51189e+00	8.87234e+35	4.20059e+31	1.00234e+33	6.33273e+28	1.28267e+47	2.27504e+46	2.23281e+46	3.37997e+47	1.43837e+48	1.74678e+47
3.98107e+00	2.25974e+36	1.02133e+32	6.14632e+33	3.95815e+29	3.02594e+47	5.37218e+46	5.22427e+46	8.09719e+47	3.77191e+48	4.33803e+47
6.30957e+00	5.57241e+36	2.42213e+32	3.75611e+34	2.39526e+30	7.60771e+47	1.36697e+47	1.26824e+47	2.11862e+48	8.71889e+48	1.03680e+48
1.00000e+01	1.35675e+37	6.09743e+32	2.21651e+35	1.42176e+31	1.83184e+48	3.46150e+47	2.98530e+47	4.91342e+48	2.08321e+49	2.48882e+48
1.58489e+01	2.97931e+37	1.35030e+33	1.17601e+36	7.69889e+31	3.97724e+48	8.59571e+47	6.11403e+47	1.08313e+49	4.48534e+49	5.33845e+48
2.51189e+01	5.49053e+37	2.00979e+33	4.28363e+36	2.29334e+32	6.84762e+48	1.84537e+48	9.01084e+47	1.96063e+49	8.15802e+49	8.85123e+48
3.98107e+01	6.41299e+37	1.17140e+33	6.11236e+36	1.73564e+32	7.61557e+48	2.34013e+48	8.76303e+47	2.24727e+49	9.05346e+49	9.76001e+48
6.30957e+01	5.76345e+37	4.46844e+32	5.95983e+36	6.96889e+31	6.70070e+48	2.12375e+48	7.30931e+47	1.96841e+49	7.93360e+49	8.69827e+48
1.00000e+02	4.30707e+37	1.49144e+32	4.80773e+36	2.26176e+31	4.96978e+48	1.60207e+48	5.36032e+47	1.53001e+49	5.89781e+49	6.51408e+48
1.58489e+02	3.43683e+37	4.49715e+31	3.82853e+36	6.94697e+30	3.89798e+48	1.27399e+48	3.93981e+47	1.18418e+49	4.55141e+49	4.78272e+48
2.51189e+02	2.91212e+37	1.43482e+31	3.05925e+36	2.16570e+30	3.59471e+48	1.03904e+48	3.28092e+47	1.13087e+49	4.28321e+49	4.02959e+48
3.98107e+02	4.02891e+37	6.91762e+30	3.49135e+36	8.94211e+29	4.92325e+48	1.26867e+48	4.13451e+47	1.35804e+49	5.61145e+49	4.99673e+48
6.30957e+02	4.57669e+37	2.82245e+30	3.84195e+36	3.92216e+29	5.25858e+48	1.35781e+48	4.54925e+47	1.54860e+49	6.17192e+49	5.49545e+48
1.00000e+03	3.36432e+37	8.10153e+29	2.70052e+36	1.06723e+29	4.10279e+48	9.35922e+47	3.12666e+47	1.21281e+49	4.84484e+49	3.83047e+48
