mDM_(MeV)	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	const
1.00000e+04	2.37060e+38	1.18588e+30	1.33310e+38	8.37777e+29	2.74308e+49	4.63037e+49	1.54085e+49	8.23704e+49	3.29325e+50	1.85058e+50	6.72887e+26
1.25893e+04	1.88313e+38	5.94412e+29	1.05899e+38	4.19936e+29	2.17896e+49	3.67824e+49	1.22397e+49	6.54320e+49	2.61602e+50	1.47003e+50	4.24563e+26
1.58489e+04	1.49588e+38	2.97938e+29	8.41237e+37	2.10488e+29	1.73085e+49	2.92186e+49	9.72259e+48	5.19763e+49	2.07803e+50	1.16773e+50	2.67881e+26
1.99526e+04	1.18826e+38	1.49333e+29	6.68249e+37	1.05502e+29	1.37488e+49	2.32100e+49	7.72306e+48	4.12873e+49	1.65068e+50	9.27584e+49	1.69022e+26
2.51189e+04	9.43894e+37	7.48478e+28	5.30828e+37	5.28796e+28	1.09212e+49	1.84369e+49	6.13473e+48	3.27964e+49	1.31120e+50	7.36822e+49	1.06646e+26
3.16228e+04	7.49777e+37	3.75144e+28	4.21664e+37	2.65039e+28	8.67513e+48	1.46453e+49	4.87304e+48	2.60516e+49	1.04154e+50	5.85288e+49	6.72888e+25
3.98107e+04	5.95579e+37	1.88024e+28	3.34947e+37	1.32839e+28	6.89096e+48	1.16334e+49	3.87083e+48	2.06938e+49	8.27333e+49	4.64917e+49	4.24564e+25
5.01187e+04	4.73091e+37	9.42378e+27	2.66063e+37	6.65795e+27	5.47372e+48	9.24085e+48	3.07473e+48	1.64378e+49	6.57180e+49	3.69301e+49	2.67882e+25
6.30957e+04	3.75793e+37	4.72318e+27	2.11344e+37	3.33696e+27	4.34795e+48	7.34035e+48	2.44236e+48	1.30571e+49	5.22020e+49	2.93349e+49	1.69022e+25
7.94328e+04	2.98506e+37	2.36724e+27	1.67878e+37	1.67248e+27	3.45372e+48	5.83070e+48	1.94004e+48	1.03717e+49	4.14657e+49	2.33017e+49	1.06646e+25
1.00000e+05	2.37113e+37	1.18645e+27	1.33352e+37	8.38238e+26	2.74340e+48	4.63152e+48	1.54103e+48	8.23860e+48	3.29376e+49	1.85093e+49	6.72888e+24
1.25893e+05	1.88347e+37	5.94639e+26	1.05926e+37	4.20119e+26	2.17916e+48	3.67897e+48	1.22409e+48	6.54418e+48	2.61633e+49	1.47025e+49	4.24564e+24
1.58489e+05	1.49610e+37	2.98028e+26	8.41404e+36	2.10561e+26	1.73097e+48	2.92232e+48	9.72332e+47	5.19825e+48	2.07823e+49	1.16787e+49	2.67882e+24
1.99526e+05	1.18840e+37	1.49369e+26	6.68354e+36	1.05531e+26	1.37497e+48	2.32129e+48	7.72349e+47	4.12912e+48	1.65080e+49	9.27666e+48	1.69022e+24
2.51189e+05	9.43978e+36	7.48622e+25	5.30894e+36	5.28912e+25	1.09217e+48	1.84387e+48	6.13499e+47	3.27988e+48	1.31128e+49	7.36873e+48	1.06646e+24
3.16228e+05	7.49830e+36	3.75201e+25	4.21705e+36	2.65085e+25	8.67540e+47	1.46464e+48	4.87317e+47	2.60531e+48	1.04159e+49	5.85321e+48	6.72889e+23
3.98107e+05	5.95612e+36	1.88047e+25	3.34973e+36	1.32858e+25	6.89109e+47	1.16342e+48	3.87103e+47	2.06947e+48	8.27368e+48	4.64946e+48	4.24564e+23
5.01187e+05	4.73111e+36	9.42469e+24	2.66079e+36	6.65868e+24	5.47383e+47	9.24142e+47	3.07490e+47	1.64384e+48	6.57204e+48	3.69324e+48	2.67882e+23
6.30957e+05	3.75804e+36	4.72354e+24	2.11354e+36	3.33726e+24	4.34804e+47	7.34076e+47	2.44250e+47	1.30575e+48	5.22026e+48	2.93368e+48	1.69022e+23
7.94328e+05	2.98508e+36	2.36738e+24	1.67885e+36	1.67259e+24	3.45365e+47	5.83092e+47	1.94009e+47	1.03719e+48	4.14648e+48	2.33025e+48	1.06646e+23
1.00000e+06	2.37103e+36	1.18650e+24	1.33355e+36	8.38283e+23	2.74315e+47	4.63161e+47	1.54101e+47	8.23826e+47	3.29346e+48	1.85081e+48	6.72889e+22
1.25893e+06	1.88316e+36	5.94656e+23	1.05926e+36	4.20137e+23	2.17880e+47	3.67865e+47	1.22379e+47	6.54304e+47	2.61568e+48	1.46998e+48	4.24564e+22
1.58489e+06	1.49542e+36	2.98027e+23	8.41360e+35	2.10565e+23	1.73009e+47	2.92190e+47	9.71988e+46	5.19569e+47	2.07716e+48	1.16758e+48	2.67882e+22
1.99526e+06	1.18707e+36	1.49356e+23	6.68214e+35	1.05529e+23	1.37295e+47	2.32031e+47	7.71470e+46	4.12380e+47	1.64813e+48	9.27076e+47	1.69022e+22
2.51189e+06	9.41590e+35	7.48386e+22	5.30560e+35	5.28842e+22	1.08775e+47	1.84216e+47	6.12439e+46	3.27049e+47	1.30645e+48	7.35968e+47	1.06646e+22
3.16228e+06	7.45808e+35	3.74863e+22	4.21005e+35	2.64962e+22	8.60755e+46	1.45987e+47	4.83610e+46	2.58826e+47	1.03249e+48	5.82459e+47	6.72889e+21
3.98107e+06	5.89250e+35	1.87612e+22	3.33638e+35	1.32676e+22	6.78965e+46	1.15628e+47	3.82246e+46	2.04429e+47	8.14627e+47	4.61536e+47	4.24564e+21
5.01187e+06	4.63619e+35	9.37300e+21	2.63737e+35	6.63459e+21	5.32656e+46	9.12933e+46	3.00008e+46	1.60691e+47	6.39858e+47	3.62646e+47	2.67882e+21
6.30957e+06	3.62414e+35	4.66641e+21	2.07545e+35	3.30804e+21	4.11429e+46	7.16665e+46	2.34688e+46	1.25425e+47	4.98073e+47	2.84766e+47	1.69022e+21
7.94328e+06	2.80642e+35	2.30881e+21	1.62131e+35	1.64028e+21	3.15665e+46	5.57228e+46	1.80116e+46	9.68926e+46	3.83413e+47	2.20495e+47	1.06646e+21
1.00000e+07	2.14580e+35	1.13114e+21	1.25287e+35	8.05867e+20	2.39095e+46	4.25362e+46	1.34315e+46	7.39863e+46	2.89521e+47	1.66397e+47	6.72889e+20
1.25893e+07	1.61509e+35	5.46585e+20	9.54266e+34	3.90676e+20	1.75171e+46	3.23637e+46	1.01962e+46	5.54991e+46	2.17952e+47	1.28252e+47	4.24564e+20
1.58489e+07	1.19399e+35	2.59609e+20	7.14257e+34	1.86201e+20	1.27765e+46	2.40328e+46	7.44198e+45	4.08853e+46	1.59814e+47	9.49989e+46	2.67882e+20
1.99526e+07	8.65988e+34	1.20928e+20	5.24395e+34	8.70326e+19	9.11094e+45	1.74602e+46	5.32304e+45	2.95421e+46	1.13156e+47	6.74936e+46	1.69022e+20
2.51189e+07	6.16224e+34	5.51987e+19	3.77437e+34	3.98545e+19	6.33861e+45	1.24065e+46	3.74689e+45	2.06105e+46	7.99465e+46	4.96723e+46	1.06646e+20
3.16228e+07	4.30620e+34	2.47011e+19	2.66486e+34	1.78862e+19	4.30875e+45	8.60822e+45	2.54548e+45	1.43124e+46	5.49707e+46	3.23635e+46	6.72889e+19
3.98107e+07	2.95980e+34	1.08514e+19	1.84826e+34	7.87735e+18	3.00468e+45	6.01462e+45	1.75373e+45	9.85155e+45	3.77401e+46	2.45163e+46	4.24564e+19
5.01187e+07	2.00481e+34	4.68886e+18	1.26162e+34	3.41106e+18	2.37760e+45	3.60335e+45	7.30179e+44	6.99072e+45	2.47508e+46	8.83506e+45	2.67882e+19
6.30957e+07	1.34087e+34	1.99701e+18	8.49316e+33	1.45538e+18	1.63082e+45	2.48731e+45	5.92843e+44	4.79358e+45	1.73894e+46	1.07719e+46	1.69022e+19
7.94328e+07	8.87239e+33	8.40122e+17	5.65030e+33	6.13170e+17	9.02980e+44	2.22782e+45	9.14980e+44	3.01893e+45	1.59467e+46	1.15297e+46	1.06646e+19
1.00000e+08	5.81834e+33	3.49795e+17	3.72187e+33	2.55609e+17	6.94883e+44	1.62423e+45	5.58719e+44	2.40382e+45	6.22437e+45	7.12373e+45	6.72889e+18
1.25893e+08	3.78736e+33	1.44397e+17	2.43151e+33	1.05621e+17	5.02158e+44	1.12187e+45	4.02819e+44	1.59983e+45	4.41330e+45	4.99065e+45	4.24564e+18
1.58489e+08	2.45039e+33	5.91895e+16	1.57780e+33	4.33290e+16	3.52246e+44	7.36489e+44	2.88891e+44	6.06175e+44	3.38411e+45	3.80744e+45	2.67882e+18
1.99526e+08	1.57755e+33	2.41232e+16	1.01820e+33	1.76704e+16	7.39341e+43	2.75828e+44	4.23442e+43	1.33731e+44	1.17135e+45	1.42356e+45	1.69022e+18
2.51189e+08	1.01156e+33	9.78589e+15	6.54145e+32	7.17190e+15	9.15480e+43	2.41370e+44	8.10103e+43	1.49408e+44	1.12998e+45	1.40100e+45	1.06646e+18
3.16228e+08	6.46538e+32	3.95487e+15	4.18740e+32	2.89964e+15	-5.83777e+42	3.41429e+43	-1.91494e+43	-2.33928e+43	1.69792e+44	2.51027e+44	6.72889e+17
3.98107e+08	4.12162e+32	1.59349e+15	2.67272e+32	1.16870e+15	-2.89019e+43	-1.27905e+43	-4.00717e+43	-4.90312e+43	-1.07385e+44	-9.38180e+43	4.24564e+17
5.01187e+08	2.62203e+32	6.40490e+14	1.70196e+32	4.69873e+14	3.17688e+44	3.74906e+44	2.83074e+44	3.47214e+44	2.81623e+45	2.74993e+45	2.67882e+17
6.30957e+08	1.66526e+32	2.56939e+14	1.08177e+32	1.88534e+14	-2.55034e+44	-2.84600e+44	-2.40959e+44	-2.95893e+44	-2.13365e+45	-2.08648e+45	1.69022e+17
7.94328e+08	1.05620e+32	1.02914e+14	6.86552e+31	7.55275e+13	6.82328e+42	1.73165e+43	6.33429e+42	7.80990e+42	9.55223e+43	1.26944e+44	1.06646e+17
1.00000e+09	6.69192e+31	4.11696e+13	4.35205e+31	3.02181e+13	1.16505e+44	1.54455e+44	1.19270e+44	1.46741e+44	1.02387e+45	1.13163e+45	6.72889e+16
