mDM_(MeV)	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10
1.00000e+03	4.11600e+45	9.51903e+40	4.01983e+45	9.41406e+40	4.82471e+56	1.40292e+57	4.71327e+56	1.43635e+57	5.76744e+57	5.63371e+57
1.58489e+03	2.61322e+45	2.42013e+40	2.55244e+45	2.39359e+40	3.05057e+56	8.89549e+56	2.98014e+56	9.10678e+56	3.65168e+57	3.56716e+57
2.51189e+03	1.65534e+45	6.12579e+39	1.61696e+45	6.05887e+39	1.92734e+56	5.63021e+56	1.88286e+56	5.76367e+56	2.30913e+57	2.25575e+57
3.98107e+03	1.04706e+45	1.54620e+39	1.02282e+45	1.52935e+39	1.21710e+56	3.55944e+56	1.18901e+56	3.64370e+56	1.45900e+57	1.42529e+57
6.30957e+03	6.61692e+44	3.89578e+38	6.46393e+44	3.85338e+38	7.68346e+55	2.24866e+56	7.50617e+55	2.30185e+56	9.21376e+56	9.00102e+56
1.00000e+04	4.17916e+44	9.80468e+37	4.08260e+44	9.69807e+37	4.84957e+55	1.41993e+56	4.73768e+55	1.45350e+56	5.81673e+56	5.68246e+56
1.58489e+04	2.63853e+44	2.46583e+37	2.57759e+44	2.43904e+37	3.06052e+55	8.96360e+55	2.98991e+55	9.17543e+55	3.67140e+56	3.58667e+56
2.51189e+04	1.66546e+44	6.19866e+36	1.62701e+44	6.13133e+36	1.93132e+55	5.65743e+55	1.88676e+55	5.79110e+55	2.31701e+56	2.26354e+56
3.98107e+04	1.05110e+44	1.55779e+36	1.02683e+44	1.54087e+36	1.21868e+55	3.57030e+55	1.19057e+55	3.65465e+55	1.46214e+56	1.42840e+56
6.30957e+04	6.63302e+43	3.91419e+35	6.47993e+43	3.87169e+35	7.68978e+54	2.25299e+55	7.51238e+54	2.30621e+55	9.22629e+55	9.01341e+55
1.00000e+05	4.18557e+43	9.83391e+34	4.08897e+43	9.72714e+34	4.85209e+54	1.42165e+55	4.74016e+54	1.45523e+55	5.82172e+55	5.68740e+55
1.58489e+05	2.64108e+43	2.47047e+34	2.58013e+43	2.44365e+34	3.06153e+54	8.97048e+54	2.99090e+54	9.18236e+54	3.67339e+55	3.58864e+55
2.51189e+05	1.66648e+43	6.20602e+33	1.62802e+43	6.13864e+33	1.93172e+54	5.66017e+54	1.88716e+54	5.79385e+54	2.31780e+55	2.26433e+55
3.98107e+05	1.05150e+43	1.55896e+33	1.02724e+43	1.54203e+33	1.21884e+54	3.57140e+54	1.19073e+54	3.65575e+54	1.46245e+55	1.42871e+55
6.30957e+05	6.63463e+42	3.91604e+32	6.48153e+42	3.87353e+32	7.69041e+53	2.25343e+54	7.51301e+53	2.30665e+54	9.22754e+54	9.01466e+54
1.00000e+06	4.18621e+42	9.83684e+31	4.08961e+42	9.73006e+31	4.85234e+53	1.42183e+54	4.74040e+53	1.45541e+54	5.82221e+54	5.68789e+54
