B	muFe	ms1	ms2	ms3	ms4	ms5	ms6	ms7	ms8	ms9	ms10
0.95	0.00001	691126.5421561863	3.418327493716667e6	3.2983213419531733e6	6.22660837850481e6	2.506720315316227e7	5.130987497786554e6	5.217501678292915e6	1.6964955062828775e7	1.7390812653313577e7	2.123144910931009e6
0.95	0.21001	2.9981105512471713e7	3.398876929004657e7	3.2500887345684968e7	3.570539849501753e7	2.6994045179112513e7	3.0587978498079687e7	2.4336598212143727e7	2.901340056423743e7	2.7955490797969587e7	2.7584551392255455e7
0.95	0.42001	4.3666915850834206e7	4.906290016502791e7	4.649479263274321e7	5.1782287486987695e7	3.762994496311566e7	4.234818318422689e7	3.480137258298994e7	4.2644081734407775e7	4.010301895089606e7	3.970061679050161e7
0.95	0.63001	5.965315982891938e7	6.785484684667571e7	6.242357159836604e7	6.961676747769783e7	4.708310911143357e7	5.1006551781496815e7	4.382275124784889e7	5.571969727088092e7	5.18392344582437e7	5.075115457391759e7
0.95	0.8400099999999999	7.858922236948171e7	8.876947479780719e7	8.137260703859581e7	9.044943493343583e7	5.8757903353399515e7	7.137970721304862e7	5.497732923537907e7	7.290992665925536e7	6.640181780093232e7	6.573338742797247e7
0.95	1.05001	9.7019182837452e7	1.0881306392687063e8	9.965213765497597e7	1.10308400516657e8	7.0339512717922e7	9.152705877622679e7	6.6276700153336324e7	8.976473860786608e7	8.080057751951604e7	8.057560832854055e7
0.95	1.26001	1.1410894962230235e8	1.266560858017921e8	1.1650109604532577e8	1.2793310544309139e8	8.336272975304611e7	1.0800520038697463e8	7.967723012366778e7	1.0610383949388777e8	9.595604461588052e7	9.588381321610555e7
0.95	1.47001	1.3088643562124185e8	1.4400642213035852e8	1.329507707302734e8	1.450142754446008e8	9.623783236485696e7	1.2423136045680837e8	9.310024502272557e7	1.222179580288377e8	1.1096723251982246e8	1.1107465790481345e8
0.95	1.68001	1.4610638240934786e8	1.5972746016991234e8	1.479010152963311e8	1.6058489118776995e8	1.0844729419576074e8	1.3898041657163766e8	1.0571844186822502e8	1.3686113902748728e8	1.247398925732458e8	1.2502051120405552e8
0.95	1.89001	1.5938439587983882e8	1.7350504645057935e8	1.6103201853933623e8	1.7439135420012838e8	1.198164461285917e8	1.518624436900515e8	1.1721958036472677e8	1.4963123531215462e8	1.369045699055847e8	1.373344933859068e8
0.95	2.10001	1.7228130485597304e8	1.86833551273835e8	1.7376294955532542e8	1.8774452934520453e8	1.3099284696432684e8	1.6439437110473546e8	1.2856399204736458e8	1.62060913050638e8	1.487881181511184e8	1.4937400572807714e8
0.95	2.31001	1.848447276542947e8	1.997705862654362e8	1.8614440259887925e8	2.007026598473722e8	1.4199863916434178e8	1.7661948538143548e8	1.3976923424747795e8	1.741921100458604e8	1.6042431587228793e8	1.611718334694924e8
0.95	2.52001	1.9712652153993854e8	2.1240784419609997e8	1.982349437537412e8	2.1335422743404618e8	1.527945575683803e8	1.8856713482515898e8	1.5078653417202327e8	1.860502593185781e8	1.7180834654753748e8	1.7271974950705716e8
0.95	2.73001	2.0949779176136574e8	2.2590277149691576e8	2.105144372837778e8	2.2676644933698177e8	1.6199837529614922e8	2.0013971658484077e8	1.6008400825917315e8	1.974672203534553e8	1.8218497007454813e8	1.831971494046104e8
0.95	2.94001	2.2164292860702905e8	2.3916032282646117e8	2.225605918279506e8	2.399347694338631e8	1.7101332873936927e8	2.1148649815700847e8	1.6920245915181682e8	2.086613544975977e8	1.9235013849409813e8	1.9346350653634515e8
0.95	3.15001	2.335818183990044e8	2.5220122653711832e8	2.3439407875980407e8	2.5288061608156997e8	1.7985640639158657e8	2.2262758619953448e8	1.7815778699060494e8	2.196525047528624e8	2.0232284539636135e8	2.0353773290485686e8
0.95	3.36001	2.453313952186186e8	2.650431453094419e8	2.4603248854613912e8	2.656222381024778e8	1.885420438416197e8	2.3358008232926822e8	1.8696351886764163e8	2.3045754839585203e8	2.1211923234494787e8	2.134359043454463e8
0.95	3.57001	2.5690623580613703e8	2.777012923518162e8	2.574909532175689e8	2.781753452655455e8	1.9708264242388925e8	2.443586913933107e8	1.9563128872258765e8	2.4109099730314574e8	2.2175316799802434e8	2.231718359344525e8
0.95	3.78001	2.6831900669225597e8	2.9018889482760555e8	2.6878261391852975e8	2.905535897176689e8	2.0548895825554293e8	2.5497617814459094e8	2.0417119772043228e8	2.5156544865886414e8	2.3123668255980307e8	2.3275751374704018e8
0.95	3.99001	2.795808064319126e8	3.025175487669043e8	2.7991897855187035e8	3.0276893449970967e8	2.1377039944424707e8	2.654437164187099e8	2.125920898578858e8	2.6189192956679803e8	2.405802997227017e8	2.4220342480652067e8
0.95	4.20001	2.907014317710224e8	3.1469749524332213e8	2.9091019977238256e8	3.1483194017492276e8	2.2193525682776365e8	2.757711604363716e8	2.2090176614667013e8	2.720801648048943e8	2.4979329440229174e8	2.5151881331958666e8
0.95	4.41001	3.0168958760758823e8	3.2673783834314054e8	3.017652941592476e8	3.2675199094685334e8	2.2999088568529257e8	2.8596725861928684e8	2.2910715344563082e8	2.821387878442777e8	2.5888389572934774e8	2.6071188252280042e8
0.95	4.62001	3.1255305472418e8	3.386467193794465e8	3.1249231721780735e8	3.385374753108055e8	2.379438506727948e8	2.960398242539267e8	2.3721443924354646e8	2.920755092797095e8	2.6785944897525322e8	2.697899557207036e8
0.95	4.83001	3.2329882531584966e8	3.50431457722165e8	3.230985047130302e8	3.5019593202966404e8	2.4580004275539818e8	3.059958732742672e8	2.452291804927968e8	3.0189725280911493e8	2.7672654620431215e8	2.787596062428037e8
0.95	5.04001	3.339332136263233e8	3.620986658128693e8	3.335903879916683e8	3.617341693060016e8	2.5356477452731067e8	3.1584173665059745e8	2.5315639239888105e8	3.1161026615074843e8	2.854911327873182e8	2.8762676340617716e8
0.95	5.25001	3.444619471091458e8	3.7365434397327614e8	3.439738889630165e8	3.731583629823402e8	2.612428586461603e8	3.255831529254996e8	2.6100062153721118e8	3.21220212367568e8	2.941585950541922e8	2.9639679972708064e8
0.95	5.46001	3.5489024218277305e8	3.851039592228331e8	3.54254398994806e8	3.84474138150004e8	2.6883867292717385e8	3.35225345056408e8	2.687660065789718e8	3.307322457031439e8	3.0273383304467094e8	3.050746033155573e8
0.95	5.6700099999999996	3.652228676743861e8	3.9645251131248075e8	3.6443684496111345e8	3.9568663749918556e8	2.763562147909355e8	3.4477308472633445e8	2.7645632912060434e8	3.401510750497913e8	3.112213213651717e8	3.136646384423726e8
0.95	5.8800099999999995	3.75464198334597e8	4.077045884444803e8	3.7452574493194807e8	4.068005789746664e8	2.837991471350891e8	3.5423074655393857e8	2.840750565360077e8	3.494810174483171e8	3.1962516046379614e8	3.221709965760843e8
0.95	6.0900099999999995	3.856182602751955e8	4.188644145991346e8	3.845252554402282e8	4.1782030473225737e8	2.9117083723790276e8	3.6360235409288764e8	2.916253783430189e8	3.587260434843535e8	3.279491201198603e8	3.3059743967598814e8
0.95	6.300009999999999	3.9568876978523296e8	4.299358899781639e8	3.9443921184605896e8	4.2874982296232754e8	2.984743899556456e8	3.728916191036135e8	2.991102372550868e8	3.6788981604532117e8	3.361966765569603e8	3.389474371418371e8
0.95	6.510009999999999	4.056791666784518e8	4.409226257616743e8	4.042711630023903e8	4.395928438229139e8	3.057126762126171e8	3.821019752725906e8	3.065323558459082e8	3.7697572359752303e8	3.443710442957472e8	3.472241975298167e8
0.95	6.720009999999999	4.155926430937667e8	4.518279741353309e8	4.140244011839503e8	4.503528104744941e8	3.128883575812404e8	3.9123660731747866e8	3.1389425956807005e8	3.8598690890960807e8	3.5247520363692707e8	3.5543069592057675e8
0.95	6.930009999999999	4.254321684912735e8	4.626550543591777e8	4.2370198805456203e8	4.6103292601633906e8	3.200039075939701e8	4.0029847623382753e8	3.211982967222071e8	3.9492629396802676e8	3.605119244918091e8	3.6356969765249765e8
0.95	7.140009999999999	4.3520051144623435e8	4.7340677550340796e8	4.333067773006644e8	4.716361769731687e8	3.270616303072644e8	4.092903412958843e8	3.2844665586097586e8	4.037966016892338e8	3.684837871412498e8	3.716437789980384e8
0.95	7.350009999999999	4.449002587331542e8	4.840858563630838e8	4.4284143444474256e8	4.821653538621924e8	3.340636765421288e8	4.182147793119413e8	3.35641381022594e8	4.126003749223767e8	3.763932003975673e8	3.796553452551317e8
0.95	7.560009999999999	4.545338321044762e8	4.9469484297178435e8	4.523084542603183e8	4.926230692764059e8	3.4101205814994174e8	4.2707420154531425e8	3.4278438511909777e8	4.2133999314817166e8	3.842424175590784e8	3.8760664664132e8
0.95	7.770009999999999	4.6410350309873974e8	5.052361240626976e8	4.6171017613706166e8	5.0301177384466743e8	3.479086605917824e8	4.358708686407532e8	3.498774617475664e8	4.3001768720936346e8	3.9203355047934425e8	3.9549979231086123e8
0.95	7.980009999999999	4.736114061562817e8	5.157119447661635e8	4.710487976864148e8	5.133337703682584e8	3.547552540707383e8	4.446069038388855e8	3.5692229564777875e8	4.38635552351717e8	3.997685820183689e8	4.033367627611883e8
0.95	8.19001	4.830595502757397e8	5.2612441878633505e8	4.803263868297934e8	5.235912263848234e8	3.61553503417106e8	4.532843047148631e8	3.639204719926667e8	4.471955598085145e8	4.07449377100005e8	4.111194208512906e8
0.95	8.40001	4.9244982940623426e8	5.3647553925983936e8	4.8954489257348204e8	5.3378618537034214e8	3.6830497689487815e8	4.6190495363941985e8	3.7087348466863984e8	4.5569956712425053e8	4.1507769256277424e8	4.1884952161864316e8
0.95	8.610009999999999	5.01784031741233e8	5.467671884690865e8	4.987061546415898e8	5.439205767571955e8	3.750111540706835e8	4.7047062713014346e8	3.777827436778511e8	4.641493273829689e8	4.2265518596273214e8	4.2652872105269074e8
0.95	8.82001	5.110638480533862e8	5.570011465553579e8	5.0781191211364913e8	5.539962249188799e8	3.8167343286600393e8	4.789830042342964e8	3.8464958177471036e8	4.725464974811859e8	4.3018342346279657e8	4.341585839581548e8
0.95	9.030009999999999	5.2029087919022834e8	5.671790993564838e8	5.168638111900572e8	5.640148572505512e8	3.882931358941189e8	4.874436740647416e8	3.91475260432231e8	4.8089264556458455e8	4.3766388692253584e8	4.4174059102225864e8
0.95	9.24001	5.2946664283256817e8	5.773026454751267e8	5.258634121924329e8	5.739781114546715e8	3.948715161699907e8	4.958541425916219e8	3.982609752196665e8	4.891892577305625e8	4.450979802862624e8	4.492761451830127e8
0.95	9.450009999999999	5.385925796031237e8	5.873733026688164e8	5.348121958894094e8	5.838875421266001e8	4.01409762267233e8	5.042158387789174e8	4.0500786066188484e8	4.9743774408410096e8	4.5248703535339e8	4.5676657738163173e8
0.95	9.66001	5.476700586009548e8	5.97392513640757e8	5.437115692264305e8	5.937446267212793e8	4.0790900298733556e8	5.1253012014200336e8	4.11716994640453e8	5.056394442223362e8	4.5983231700261253e8	4.6421315177160865e8
0.95	9.870009999999999	5.567003824270236e8	6.073616512990304e8	5.525628705277817e8	6.035507709714237e8	4.1437031159654397e8	5.207982777922203e8	4.183894023889174e8	5.1379563221278363e8	4.671350279330673e8	4.716170704458041e8
0.95	10.08001	5.656847917573434e8	6.172820235435321e8	5.613673742291265e8	6.133073138181373e8	4.207947096788595e8	5.290215410258565e8	4.250260601274246e8	5.2190752112197006e8	4.743963129758229e8	4.789794777358533e8
