B	muFe	ms1	ms2	ms3	ms4	ms5	ms6	ms7	ms8	ms9	ms10
0.95	0.01	4.4659611358933285e7	6.512705840807805e7	7.939472364182281e7	7.939472364182281e7	4.903080912668179e7	5.775350364113143e7	3.972842282859189e7	4.934777111800559e7	4.9028283610067286e7	4.8318658671011314e7
0.95	0.16	1.3358806342277871e8	1.561356365412461e8	1.681315936646303e8	1.681315936646303e8	1.212837782443078e8	1.4081038935750908e8	1.0677779086246642e8	1.2953019178610528e8	1.2542650211867826e8	1.2586628040812446e8
0.95	0.31	1.9887369950735554e8	2.2651424970673102e8	2.3666090161672547e8	2.3666090161672547e8	1.714370046488383e8	1.9610710038499162e8	1.545957514776725e8	1.9053034364450845e8	1.8181387076203287e8	1.7801578598448172e8
0.95	0.45999999999999996	2.5789229080289224e8	2.899082421024914e8	2.988134027012071e8	2.988134027012071e8	2.1422969558747804e8	2.4076503655368236e8	1.9693084959938386e8	2.452390218945768e8	2.3125824973310113e8	2.267270899008891e8
0.95	0.61	3.13553494080799e8	3.4956497903624034e8	3.5705366336854076e8	3.5705366336854076e8	2.5372564114101893e8	2.7067710008577186e8	2.3619088588456887e8	2.966574609748726e8	2.7759863356124455e8	2.727055211900457e8
0.95	0.76	3.687416262048085e8	4.0902751009292245e8	4.158813887361001e8	4.158813887361001e8	2.928327134335509e8	3.29730269591663e8	2.761678795706568e8	3.477528505627439e8	3.2358112722281545e8	3.194446361854255e8
0.95	0.9099999999999999	4.217417942351645e8	4.6599234930273014e8	4.7220061158956563e8	4.7220061158956563e8	3.298900109920381e8	3.937599153207609e8	3.14603449041614e8	3.967349643405587e8	3.674763442617502e8	3.6442522430001813e8
0.95	1.06	4.7371763982404166e8	5.2184977113093257e8	5.2754199577745223e8	5.2754199577745223e8	3.66457043581537e8	4.5210673131770754e8	3.523780620489153e8	4.4486529501702315e8	4.106400018002052e8	4.0851011137550515e8
0.95	1.21	5.25775621303766e8	5.779351243653355e8	5.834239340264729e8	5.834239340264729e8	4.0381027394286525e8	5.0105644484972334e8	3.904486353786364e8	4.9330942281672055e8	4.542685799397898e8	4.526997304769306e8
0.95	1.3599999999999999	5.764780667700065e8	6.324482348729873e8	6.376681183228223e8	6.376681183228223e8	4.3994558997055143e8	5.486660850334003e8	4.274697084295295e8	5.404523212796084e8	4.966299038889562e8	4.956760340812597e8
0.95	1.51	6.260048771877843e8	6.856004085739167e8	6.904964198452492e8	6.904964198452492e8	4.7503137499644667e8	5.951150126093107e8	4.635819193144771e8	5.864675856114701e8	5.378953731658624e8	5.376014995392867e8
0.95	1.66	6.758359403370311e8	7.392561490510689e8	7.439884468500204e8	7.439884468500204e8	5.108261456967933e8	6.41903649706462e8	4.9991112558450633e8	6.327531991136647e8	5.795241150825362e8	5.79836690978787e8
0.95	1.8099999999999998	7.261862301766045e8	7.936712724784459e8	7.984175052162848e8	7.984175052162848e8	5.475406220036091e8	6.892445232152061e8	5.366195220781347e8	6.795119262103368e8	6.217165664368953e8	6.225740295960325e8
0.95	1.96	7.758338138155365e8	8.472841919702896e8	8.520226176049199e8	8.520226176049199e8	5.836577575050377e8	7.358934349034753e8	5.727809972160764e8	7.255932312650677e8	6.632571925894282e8	6.646850040808066e8
0.95	2.11	8.248412997500124e8	9.001669417112862e8	9.048780605338091e8	9.048780605338091e8	6.192320023288203e8	7.819124423494232e8	6.084447382672348e8	7.710577901608274e8	7.04204934084461e8	7.062258110143292e8
0.95	2.26	8.732616733719581e8	9.523804388352859e8	9.570466239494178e8	9.570466239494178e8	6.543093369013903e8	8.273540319996942e8	6.436523352630193e8	8.15956926994536e8	7.446096019155314e8	7.472439780130094e8
