r/R	D3	D5
1.00000e-03	1.77571e+38	8.97776e+49
2.13878e-02	8.09844e+40	4.11594e+52
4.17755e-02	3.05953e+41	1.55080e+53
6.21633e-02	6.70333e+41	3.33560e+53
8.25510e-02	1.14667e+42	5.80688e+53
1.02939e-01	1.75309e+42	8.84157e+53
1.23327e-01	2.43037e+42	1.24862e+54
1.43714e-01	3.19717e+42	1.64966e+54
1.64102e-01	3.98505e+42	2.06674e+54
1.84490e-01	4.85451e+42	2.55810e+54
2.04878e-01	5.72800e+42	2.97364e+54
2.25265e-01	6.42550e+42	3.45864e+54
2.45653e-01	7.11362e+42	3.87036e+54
2.66041e-01	7.75929e+42	4.28843e+54
2.86429e-01	8.35923e+42	4.72572e+54
3.06816e-01	8.79230e+42	4.94043e+54
3.27204e-01	9.15563e+42	5.29404e+54
3.47592e-01	9.63585e+42	5.55964e+54
3.67980e-01	9.56674e+42	5.75448e+54
3.88367e-01	9.62894e+42	5.92923e+54
4.08755e-01	9.60758e+42	6.01727e+54
4.29143e-01	9.41075e+42	6.06708e+54
4.49531e-01	9.07427e+42	6.04002e+54
4.69918e-01	8.69996e+42	5.93580e+54
4.90306e-01	8.20707e+42	5.83946e+54
5.10694e-01	7.70172e+42	5.67942e+54
5.31082e-01	7.05491e+42	5.43869e+54
5.51469e-01	6.46356e+42	5.18955e+54
5.71857e-01	5.82801e+42	4.94503e+54
5.92245e-01	5.23620e+42	4.64535e+54
6.12633e-01	4.61383e+42	4.32513e+54
6.33020e-01	4.04498e+42	4.01028e+54
6.53408e-01	3.48070e+42	3.66443e+54
6.73796e-01	2.96415e+42	3.32094e+54
6.94184e-01	2.48449e+42	2.98651e+54
7.14571e-01	2.05401e+42	2.66692e+54
7.34959e-01	1.67105e+42	2.33719e+54
7.55347e-01	1.33299e+42	2.02904e+54
7.75735e-01	1.03403e+42	1.73589e+54
7.96122e-01	7.80401e+41	1.47777e+54
8.16510e-01	5.76523e+41	1.19899e+54
8.36898e-01	4.07183e+41	9.64665e+53
8.57286e-01	2.75705e+41	7.56954e+53
8.77673e-01	1.76231e+41	5.67546e+53
8.98061e-01	1.05065e+41	4.03724e+53
9.18449e-01	5.52285e+40	2.66606e+53
9.38837e-01	2.44186e+40	1.55378e+53
9.59224e-01	7.83004e+39	7.34781e+52
9.79612e-01	1.16450e+39	2.05022e+52
1.00000e+00	6.63663e+29	1.06620e+45
