r/R	D3	D5
1.00000e-03	9.62424e+38	2.25623e+50
2.13878e-02	4.38205e+41	1.02963e+53
4.17755e-02	1.64540e+42	3.91410e+53
6.21633e-02	3.55899e+42	8.47947e+53
8.25510e-02	6.12536e+42	1.46219e+54
1.02939e-01	9.20222e+42	2.20957e+54
1.23327e-01	1.26664e+43	3.04496e+54
1.43714e-01	1.63715e+43	3.96188e+54
1.64102e-01	2.01260e+43	4.92833e+54
1.84490e-01	2.37859e+43	5.92044e+54
2.04878e-01	2.72212e+43	6.81309e+54
2.25265e-01	3.03840e+43	7.78906e+54
2.45653e-01	3.31025e+43	8.59902e+54
2.66041e-01	3.51602e+43	9.32795e+54
2.86429e-01	3.69958e+43	9.95285e+54
3.06816e-01	3.79078e+43	1.04562e+55
3.27204e-01	3.85104e+43	1.07611e+55
3.47592e-01	3.86078e+43	1.10270e+55
3.67980e-01	3.79575e+43	1.11894e+55
3.88367e-01	3.68739e+43	1.12705e+55
4.08755e-01	3.54809e+43	1.11573e+55
4.29143e-01	3.41339e+43	1.10308e+55
4.49531e-01	3.21525e+43	1.07731e+55
4.69918e-01	2.98295e+43	1.03375e+55
4.90306e-01	2.76742e+43	1.00690e+55
5.10694e-01	2.54709e+43	9.59565e+54
5.31082e-01	2.29311e+43	8.96477e+54
5.51469e-01	2.06663e+43	8.39041e+54
5.71857e-01	1.83747e+43	7.82187e+54
5.92245e-01	1.60085e+43	7.22623e+54
6.12633e-01	1.40235e+43	6.65604e+54
6.33020e-01	1.21441e+43	6.09475e+54
6.53408e-01	1.03022e+43	5.59490e+54
6.73796e-01	8.75400e+42	5.04245e+54
6.94184e-01	7.33125e+42	4.53115e+54
7.14571e-01	6.04488e+42	4.04150e+54
7.34959e-01	4.88629e+42	3.56569e+54
7.55347e-01	3.87201e+42	3.09778e+54
7.75735e-01	3.01867e+42	2.64658e+54
7.96122e-01	2.29590e+42	2.25204e+54
8.16510e-01	1.69011e+42	1.85957e+54
8.36898e-01	1.20876e+42	1.52490e+54
8.57286e-01	8.21027e+41	1.22288e+54
8.77673e-01	5.28614e+41	9.21121e+53
8.98061e-01	3.07713e+41	6.55952e+53
9.18449e-01	1.60554e+41	4.35043e+53
9.38837e-01	6.90155e+40	2.51101e+53
9.59224e-01	2.10655e+40	1.14694e+53
9.79612e-01	2.83440e+39	2.88999e+52
1.00000e+00	2.46534e+30	2.24335e+45
