r/R	D3	D5
1.00000e-03	8.08514e+41	8.56753e+52
2.13878e-02	3.65171e+44	3.87506e+55
4.17755e-02	1.34314e+45	1.42533e+56
6.21633e-02	2.80800e+45	2.95947e+56
8.25510e-02	4.56080e+45	4.80527e+56
1.02939e-01	6.35305e+45	6.73280e+56
1.23327e-01	8.03554e+45	8.51966e+56
1.43714e-01	9.42644e+45	9.94866e+56
1.64102e-01	1.04622e+46	1.10958e+57
1.84490e-01	1.10091e+46	1.17367e+57
2.04878e-01	1.11187e+46	1.18098e+57
2.25265e-01	1.08739e+46	1.15392e+57
2.45653e-01	1.03441e+46	1.09820e+57
2.66041e-01	9.54800e+45	1.01699e+57
2.86429e-01	8.57769e+45	9.23133e+56
3.06816e-01	7.58318e+45	8.18442e+56
3.27204e-01	6.60552e+45	7.07978e+56
3.47592e-01	5.66237e+45	6.12920e+56
3.67980e-01	4.77314e+45	5.19552e+56
3.88367e-01	3.99232e+45	4.33602e+56
4.08755e-01	3.30275e+45	3.61640e+56
4.29143e-01	2.67664e+45	2.97287e+56
4.49531e-01	2.18145e+45	2.41784e+56
4.69918e-01	1.75249e+45	1.97072e+56
4.90306e-01	1.38695e+45	1.56111e+56
5.10694e-01	1.09891e+45	1.24796e+56
5.31082e-01	8.66953e+44	9.90227e+55
5.51469e-01	6.68284e+44	7.74921e+55
5.71857e-01	5.24367e+44	6.06718e+55
5.92245e-01	3.97753e+44	4.76585e+55
6.12633e-01	3.04351e+44	3.67260e+55
6.33020e-01	2.31751e+44	2.87683e+55
6.53408e-01	1.73183e+44	2.16922e+55
6.73796e-01	1.28436e+44	1.69772e+55
6.94184e-01	9.60886e+43	1.27001e+55
7.14571e-01	6.94840e+43	9.55717e+54
7.34959e-01	5.00979e+43	7.24624e+54
7.55347e-01	3.56902e+43	5.36349e+54
7.75735e-01	2.55213e+43	3.91637e+54
7.96122e-01	1.74118e+43	2.94148e+54
8.16510e-01	1.19096e+43	2.12134e+54
8.36898e-01	7.71458e+42	1.55901e+54
8.57286e-01	4.87060e+42	1.11652e+54
8.77673e-01	3.03989e+42	8.05815e+53
8.98061e-01	1.76663e+42	5.76177e+53
9.18449e-01	9.65680e+41	4.08081e+53
9.38837e-01	4.45296e+41	2.67825e+53
9.59224e-01	1.36834e+41	1.31003e+53
9.79612e-01	1.74770e+40	3.28899e+52
1.00000e+00	1.00666e+31	1.01456e+45
