r/R	D3	D5
1.00000e-03	9.20101e+37	4.15521e+50
2.13878e-02	4.15086e+40	1.91559e+53
4.17755e-02	1.59006e+41	7.18817e+53
6.21633e-02	3.46326e+41	1.55843e+54
8.25510e-02	6.00029e+41	2.66431e+54
1.02939e-01	9.01879e+41	4.00602e+54
1.23327e-01	1.25875e+42	5.52467e+54
1.43714e-01	1.65371e+42	7.07725e+54
1.64102e-01	2.06447e+42	8.71789e+54
1.84490e-01	2.48315e+42	1.03021e+55
2.04878e-01	2.90184e+42	1.19477e+55
2.25265e-01	3.30629e+42	1.34367e+55
2.45653e-01	3.75085e+42	1.46308e+55
2.66041e-01	4.03586e+42	1.57772e+55
2.86429e-01	4.34264e+42	1.66983e+55
3.06816e-01	4.59518e+42	1.72669e+55
3.27204e-01	4.85052e+42	1.79463e+55
3.47592e-01	5.04272e+42	1.79579e+55
3.67980e-01	5.20330e+42	1.80967e+55
3.88367e-01	5.30886e+42	1.80043e+55
4.08755e-01	5.39751e+42	1.76790e+55
4.29143e-01	5.40984e+42	1.72027e+55
4.49531e-01	5.35319e+42	1.67505e+55
4.69918e-01	5.25594e+42	1.62133e+55
4.90306e-01	5.23068e+42	1.54835e+55
5.10694e-01	5.10300e+42	1.46443e+55
5.31082e-01	4.97237e+42	1.37381e+55
5.51469e-01	4.81094e+42	1.28762e+55
5.71857e-01	4.58863e+42	1.21059e+55
5.92245e-01	4.44244e+42	1.12225e+55
6.12633e-01	4.23171e+42	1.02828e+55
6.33020e-01	3.98893e+42	9.45868e+54
6.53408e-01	3.76127e+42	8.62790e+54
6.73796e-01	3.49072e+42	7.86393e+54
6.94184e-01	3.25566e+42	7.03610e+54
7.14571e-01	2.98444e+42	6.31794e+54
7.34959e-01	2.73901e+42	5.61086e+54
7.55347e-01	2.48863e+42	4.95231e+54
7.75735e-01	2.22907e+42	4.31137e+54
7.96122e-01	1.99640e+42	3.74088e+54
8.16510e-01	1.74177e+42	3.19025e+54
8.36898e-01	1.49990e+42	2.67727e+54
8.57286e-01	1.25110e+42	2.18668e+54
8.77673e-01	1.00001e+42	1.74585e+54
8.98061e-01	7.49033e+41	1.32095e+54
9.18449e-01	4.73493e+41	9.11085e+53
9.38837e-01	2.31770e+41	5.45894e+53
9.59224e-01	7.96235e+40	2.61199e+53
9.79612e-01	1.23295e+40	7.32396e+52
1.00000e+00	2.51507e+30	1.08410e+45
