r/R	D3	D5
1.00000e-03	1.47234e+40	2.27732e+51
2.13878e-02	6.70482e+42	1.02808e+54
4.17755e-02	2.51566e+43	3.86137e+54
6.21633e-02	5.40809e+43	8.32660e+54
8.25510e-02	9.21400e+43	1.42220e+55
1.02939e-01	1.35577e+44	2.10477e+55
1.23327e-01	1.83905e+44	2.89037e+55
1.43714e-01	2.33327e+44	3.65147e+55
1.64102e-01	2.79897e+44	4.39621e+55
1.84490e-01	3.23831e+44	5.12964e+55
2.04878e-01	3.60977e+44	5.79023e+55
2.25265e-01	3.91737e+44	6.29930e+55
2.45653e-01	4.19501e+44	6.77934e+55
2.66041e-01	4.33422e+44	7.07405e+55
2.86429e-01	4.38873e+44	7.30817e+55
3.06816e-01	4.38209e+44	7.39045e+55
3.27204e-01	4.26479e+44	7.33287e+55
3.47592e-01	4.13867e+44	7.24248e+55
3.67980e-01	3.96027e+44	7.00799e+55
3.88367e-01	3.72917e+44	6.67935e+55
4.08755e-01	3.46856e+44	6.35039e+55
4.29143e-01	3.17594e+44	5.99509e+55
4.49531e-01	2.91935e+44	5.60487e+55
4.69918e-01	2.61582e+44	5.18233e+55
4.90306e-01	2.32974e+44	4.76427e+55
5.10694e-01	2.08290e+44	4.43905e+55
5.31082e-01	1.80424e+44	3.96226e+55
5.51469e-01	1.57248e+44	3.51822e+55
5.71857e-01	1.35630e+44	3.20322e+55
5.92245e-01	1.15127e+44	2.85753e+55
6.12633e-01	9.73109e+43	2.52248e+55
6.33020e-01	8.15890e+43	2.22279e+55
6.53408e-01	6.77588e+43	1.94765e+55
6.73796e-01	5.59701e+43	1.68951e+55
6.94184e-01	4.52117e+43	1.47473e+55
7.14571e-01	3.64241e+43	1.25445e+55
7.34959e-01	2.87917e+43	1.06020e+55
7.55347e-01	2.23079e+43	8.98998e+54
7.75735e-01	1.69680e+43	7.58166e+54
7.96122e-01	1.25583e+43	6.16817e+54
8.16510e-01	9.03204e+42	5.03528e+54
8.36898e-01	6.29558e+42	3.95501e+54
8.57286e-01	4.19818e+42	3.05915e+54
8.77673e-01	2.63506e+42	2.27919e+54
8.98061e-01	1.51890e+42	1.59636e+54
9.18449e-01	7.88911e+41	1.04274e+54
9.38837e-01	3.38314e+41	6.01363e+53
9.59224e-01	1.04179e+41	2.78027e+53
9.79612e-01	1.41516e+40	7.35855e+52
1.00000e+00	2.18070e+30	9.29895e+44
