r/R	D3	D5
1.00000e-03	6.56399e+39	2.53559e+51
2.13878e-02	3.00055e+42	1.14439e+54
4.17755e-02	1.12369e+43	4.38549e+54
6.21633e-02	2.45073e+43	9.49675e+54
8.25510e-02	4.23421e+43	1.60803e+55
1.02939e-01	6.37208e+43	2.40229e+55
1.23327e-01	8.78519e+43	3.33936e+55
1.43714e-01	1.14451e+44	4.22555e+55
1.64102e-01	1.43041e+44	5.20392e+55
1.84490e-01	1.68321e+44	6.12730e+55
2.04878e-01	1.96298e+44	6.91090e+55
2.25265e-01	2.19305e+44	7.59335e+55
2.45653e-01	2.41677e+44	8.41213e+55
2.66041e-01	2.63425e+44	8.77374e+55
2.86429e-01	2.80290e+44	9.17425e+55
3.06816e-01	2.96017e+44	9.42976e+55
3.27204e-01	3.04057e+44	9.46107e+55
3.47592e-01	3.07924e+44	9.51164e+55
3.67980e-01	3.08041e+44	9.47712e+55
3.88367e-01	3.01001e+44	9.28867e+55
4.08755e-01	2.92805e+44	8.96598e+55
4.29143e-01	2.79567e+44	8.60111e+55
4.49531e-01	2.71228e+44	8.14409e+55
4.69918e-01	2.53365e+44	7.58661e+55
4.90306e-01	2.33530e+44	7.05692e+55
5.10694e-01	2.12701e+44	6.52103e+55
5.31082e-01	1.88580e+44	5.94371e+55
5.51469e-01	1.68257e+44	5.39221e+55
5.71857e-01	1.47647e+44	4.84248e+55
5.92245e-01	1.28083e+44	4.33875e+55
6.12633e-01	1.09818e+44	3.83021e+55
6.33020e-01	9.23230e+43	3.35888e+55
6.53408e-01	7.73845e+43	2.95570e+55
6.73796e-01	6.37121e+43	2.54108e+55
6.94184e-01	5.20018e+43	2.17478e+55
7.14571e-01	4.15189e+43	1.85506e+55
7.34959e-01	3.28799e+43	1.55558e+55
7.55347e-01	2.54391e+43	1.28802e+55
7.75735e-01	1.92196e+43	1.05789e+55
7.96122e-01	1.41924e+43	8.51119e+54
8.16510e-01	1.01546e+43	6.77590e+54
8.36898e-01	6.96254e+42	5.23368e+54
8.57286e-01	4.59606e+42	3.92686e+54
8.77673e-01	2.84914e+42	2.84302e+54
8.98061e-01	1.65488e+42	1.94542e+54
9.18449e-01	8.43176e+41	1.23765e+54
9.38837e-01	3.59757e+41	6.96260e+53
9.59224e-01	1.10769e+41	3.14268e+53
9.79612e-01	1.54454e+40	8.35727e+52
1.00000e+00	2.03406e+30	8.96632e+44
